Concentration [µg/mL];Replicate;Absorbance;Method;Operator;Date
1500;7;2,348999977;singlepipette;S1;08/10/2025
1000;7;1,502400041;singlepipette;S1;08/10/2025
750;7;0,912299991;singlepipette;S1;08/10/2025
500;7;0,655700028;singlepipette;S1;08/10/2025
250;7;0,454100013;singlepipette;S1;08/10/2025
125;7;0,323000014;singlepipette;S1;08/10/2025
25;7;0,132699996;singlepipette;S1;08/10/2025
0;7;0,086499996;singlepipette;S1;08/10/2025
2000;8;2,690799952;singlepipette;S1;08/10/2025
1500;8;2,135699987;singlepipette;S1;08/10/2025
1000;8;1,492799997;singlepipette;S1;08/10/2025
750;8;0,885999978;singlepipette;S1;08/10/2025
500;8;0,671400011;singlepipette;S1;08/10/2025
250;8;0,456699997;singlepipette;S1;08/10/2025
125;8;0,329899997;singlepipette;S1;08/10/2025
25;8;0,134499997;singlepipette;S1;08/10/2025
0;8;0,086999997;singlepipette;S1;08/10/2025
2000;9;2,736599922;singlepipette;S1;08/10/2025
1500;9;2,26880002;singlepipette;S1;08/10/2025
1000;9;1,474799991;singlepipette;S1;08/10/2025
750;9;0,888499975;singlepipette;S1;08/10/2025
500;9;0,62529999;singlepipette;S1;08/10/2025
250;9;0,4454;singlepipette;S1;08/10/2025
125;9;0,326400012;singlepipette;S1;08/10/2025
25;9;0,136800006;singlepipette;S1;08/10/2025
0;9;0,086900003;singlepipette;S1;08/10/2025
2000;10;2,765799999;singlepipette;S1;08/10/2025
1500;10;2,138099909;singlepipette;S1;08/10/2025
1000;10;1,571400046;singlepipette;S1;08/10/2025
750;10;0,855799973;singlepipette;S1;08/10/2025
500;10;0,65170002;singlepipette;S1;08/10/2025
250;10;0,4472;singlepipette;S1;08/10/2025
125;10;0,322899997;singlepipette;S1;08/10/2025
25;10;0,132200003;singlepipette;S1;08/10/2025
0;10;0,088299997;singlepipette;S1;08/10/2025
2000;11;2,897300005;singlepipette;S1;08/10/2025
1500;11;2,145999908;singlepipette;S1;08/10/2025
1000;11;1,540899992;singlepipette;S1;08/10/2025
750;11;0,796599984;singlepipette;S1;08/10/2025
500;11;0,64380002;singlepipette;S1;08/10/2025
250;11;0,443599999;singlepipette;S1;08/10/2025
