RunNr	FileName	Condition	Replicate	Precursors	ModifiedSequences	Peptides	ProteinGroups	Proteins
1	G1_1811.htrms	G	1	56422	52142	51571	6979	7042
2	G2_1811.htrms	G	2	56412	52153	51607	6951	7014
3	G3_1811.htrms	G	3	56373	52297	51742	6969	7033
4	R1_1811.htrms	R1	1	54199	50311	49823	6865	6927
5	R1_1911.htrms	R2	1	51082	47871	47354	6807	6868
6	R2_1811.htrms	R1	2	56250	52068	51510	6956	7021
8	R3_1811.htrms	R1	3	51826	48253	47704	6911	6979
9	R3_1911.htrms	R2	3	35931	34341	33957	6197	6248
10	T1_1811.htrms	T	1	57149	52896	52315	6950	7011
