RunNr	FileName	Condition	Replicate	Precursors	ModifiedSequences	Peptides	ProteinGroups	Proteins
1	G1.htrms	G	1	60326	55981	53153	6929	7003
2	G2.htrms	G	2	59617	55299	52253	6953	7027
3	G3.htrms	G	3	62233	57848	54701	6992	7066
7	M1.htrms	M	1	61926	57472	54500	6972	7043
8	M2.htrms	M	2	62350	57833	54888	6990	7065
9	M3.htrms	M	3	62433	57916	54979	6985	7060
10	T1.htrms	T	1	60121	56128	53078	6933	7007
11	T2.htrms	T	2	62821	58261	55130	6983	7059
12	T3.htrms	T	3	62481	57861	54691	6956	7033
